Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
d2c5d821-c9c2-1b25-52cd-a332401d4f6b,1991-11-18,,999-81-9285,S99919384,X37876798X,Mrs.,Lynna524,Elena945,Padberg411,,Champlin946,M,white,nonhispanic,F,Lowell  Massachusetts  US,879 Mills Station,Braintree,Massachusetts,Norfolk County,25021,02184,42.246702738130224,-70.97245481542056,188224.06,536982.11,65628
9575bb57-0440-ca5b-04a1-db1db794c493,1998-12-05,,999-55-6678,S99938277,X28200430X,Mr.,Martin117,,Bechtelar572,,,,white,nonhispanic,M,Stoughton  Massachusetts  US,112 O'Keefe Parade,Boston,Massachusetts,Suffolk County,25025,02116,42.38362630377629,-71.09931885532727,81799.18,4794.21,177885
c370b4e4-a980-2e6a-d5be-74ce23d111c2,1964-01-09,,999-76-3092,S99964699,X30013918X,Mrs.,Antonia30,Charlott617,Wiza601,,Wolf938,M,white,nonhispanic,F,Whitman  Massachusetts  US,957 Lindgren Orchard Unit 14,Boston,Massachusetts,Suffolk County,25025,02126,42.36911933763017,-70.9813372138367,13561.79,650712.29,14320
43996009-25c5-ba84-c8ef-fe021fb88342,2003-03-09,,999-24-9104,S99994977,X93302733X,Ms.,Gabriela205,,Chavarría957,,,,white,hispanic,F,Portsmouth  Saint John Parish  DM,223 Leannon Common Suite 33,Lynn,Massachusetts,Essex County,25009,01902,42.49504196455736,-70.9302607156453,71632.86,15438.56,158870
acd905a4-e3d8-2406-e07f-ffbcc4ad0e5a,1971-04-07,,999-48-9122,S99964940,X45775384X,Ms.,Lorinda137,Leeanna836,Jaskolski867,,,S,black,hispanic,F,Boston  Massachusetts  US,740 Waelchi Parade,Longmeadow,Massachusetts,Hampden County,25013,01106,42.05690020950052,-72.5855121940217,539141.09,412165.84,58976
73443683-ecb7-3283-b91f-2130671c6e87,1947-08-12,,999-21-5517,S99953210,X83846875X,Ms.,Clarinda196,Jaqueline846,Howell947,,,S,white,nonhispanic,F,Springfield  Massachusetts  US,359 McLaughlin Trail,Florida,Massachusetts,Berkshire County,,00000,42.663276051559976,-73.03887495767046,395598.51,542476.36,67940
c58d6513-0598-fbcf-452e-bbdb0917cea0,1999-06-11,,999-69-7547,S99946626,X83476680X,Ms.,Deb577,Julian715,Nicolas769,,,,white,nonhispanic,F,Taunton  Massachusetts  US,1087 Huel Vista,South Yarmouth,Massachusetts,Barnstable County,25001,02664,41.69871480931245,-70.17020364289924,171230.15,300850.73,145366
a1a7386c-650e-3175-36df-aadfad011c51,2012-01-10,,999-14-1340,,,,Leslie90,Frances376,Towne435,,,,white,nonhispanic,M,Worcester  Massachusetts  US,854 Bogisich Club,Southborough,Massachusetts,Worcester County,,00000,42.26614598015267,-71.52469811112117,24273.61,30337.18,854604
c24d6040-2bf6-4c2f-f7c2-83eabea4ccc3,2004-02-11,,999-80-2972,S99993499,X66025470X,Mr.,Seth414,,Schumm995,,,,white,nonhispanic,M,Chicopee  Massachusetts  US,623 Jenkins Port Apt 28,Swansea,Massachusetts,Bristol County,,00000,41.78776255300524,-71.22881190546427,77272.23,10413.41,168440
da56092a-88fa-8302-7522-8d9d6e8baede,1931-06-06,2022-02-20,999-92-5662,S99944784,X06289459X,Mrs.,Yulanda554,Merrie964,Weissnat378,,Powlowski563,M,white,nonhispanic,F,Brockton  Massachusetts  US,758 Friesen Landing,Mashpee,Massachusetts,Barnstable County,,00000,41.622178113404146,-70.47611156239088,839219.59,1092389.10,72617
2333de7f-8fa0-7f75-7802-8308f926132f,1969-10-08,,999-62-7580,S99957911,X65904432X,Mrs.,Germaine912,Marietta439,Aufderhar910,,Kertzmann286,M,white,nonhispanic,F,North Attleborough  Massachusetts  US,676 Marvin Rapid,Boston,Massachusetts,Suffolk County,25025,02122,42.259719573572724,-71.01833810941082,419501.37,891392.67,27252
705d91c3-e7d7-f53d-8269-57fed0263762,1997-10-23,,999-69-2999,S99960881,X75541115X,Mrs.,Leida589,Collene784,Schaefer657,,Bauch723,M,white,nonhispanic,F,Winchendon  Massachusetts  US,118 Schroeder Underpass,Chelsea,Massachusetts,Suffolk County,25017,02149,42.37900180224158,-71.02211101687136,105326.88,338428.38,41007
a88a1ef7-a60f-2304-7aa7-85b9956fe4d8,2003-06-19,,999-60-7264,S99995471,X96216575X,Ms.,Billye739,Earlean804,Trantow673,,,,white,nonhispanic,F,Harvard  Massachusetts  US,908 Beahan Bypass Apt 2,Lowell,Massachusetts,Middlesex County,25017,01850,42.6990236219669,-71.38592720532743,12726.86,765262.60,13994
3819c939-a9ed-28f1-4a1b-c2780abb1b3a,1969-11-23,,999-25-7074,S99953212,X31195562X,Mrs.,Particia365,Kimi714,Ratke343,,Moen819,M,white,nonhispanic,F,Acton  Massachusetts  US,306 Altenwerth Course,Gardner,Massachusetts,Worcester County,25027,01440,42.6309959724553,-71.96194706912752,15548.94,680240.29,12871
8968173d-2675-84f7-6f32-96d29fab010b,1958-06-10,,999-12-1493,S99934735,X28594463X,Mr.,Tony646,Jamel269,Weimann465,,,M,white,nonhispanic,M,Danvers  Massachusetts  US,1018 Wolff Landing Suite 53,Millbury,Massachusetts,Worcester County,,00000,42.173574906400475,-71.73995175082241,276476.13,328814.69,29131
6259c116-1899-9b4e-89d1-dee4a43f03b4,1978-05-13,,999-40-5387,S99989821,X59084616X,Mr.,Clarence5,Alonso270,Buckridge80,,,M,white,nonhispanic,M,Millbury  Massachusetts  US,628 Conn Bay,Bellingham,Massachusetts,Norfolk County,25021,02019,42.12135731428708,-71.48473646480777,93819.65,7944.96,73008
